TradeID,Ticker,SignalDate,EntryPrice,StopLoss,TargetPrice,Status,ExitPrice,ExitDate,PnL,Notes,Strategy,EntryDate,UpdatedStopLoss,ATR,TriggerHigh,VWAP,InitialSL,Side
2978229e,NATIONALUM.NS,2026-01-06,305.22,290.91,333.85,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,,
3c61ce46,NMDC.NS,2026-01-06,81.62,78.87,87.11,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,,
9b28e309,NTPC.NS,2026-01-06,335.23,327.23,351.24,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,,
f1e094bb,RECLTD.NS,2026-01-06,363.56,351.72,387.25,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,,
dd41a6e8,RVNL.NS,2026-01-06,349.41,331.16,385.89,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,,
fdcff7f7,SAIL.NS,2026-01-06,140.38,134.48,152.19,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,,
d6799670,SBIN.NS,2026-01-06,990.35,971.25,1028.56,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,,
3ca03471,SRF.NS,2026-01-06,3058.9,2978.99,3218.71,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,,
5dfda7f0,SYNGENE.NS,2026-01-06,655.65,637.0,692.96,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,,
1f64c59f,TATACONSUM.NS,2026-01-06,1190.3,1158.29,1254.34,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,,
a479d524,TITAN.NS,2026-01-06,4013.86,3931.03,4179.54,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,,
7475bc38,UPL.NS,2026-01-06,786.41,764.54,830.16,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,,
2c3abfc9,VEDL.NS,2026-01-06,592.28,572.41,632.03,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,,
b6147fb7,VOLTAS.NS,2026-01-06,1412.08,1359.96,1516.3,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,,
699b8a0b,ICICIBANK.NS,2026-01-06,1410.9000244140625,1403.5292108689173,1425.6416515043527,EXIT_AT_CLOSE,1411.199951171875,2026-01-06 15:30:00,0.0212578320662413,Manual | (Updated) | Triggered at 09:18:00 | Auto-Squareoff,Intraday,2026-01-06 09:18:00,,,,,,
82cc27cd,ADANIPOWER.NS,2026-01-06,148.8800048828125,148.04168170118166,150.55665124607415,NOT_TRIGGERED,,,0.0,Manual | (Updated) | Expired (No Entry),Intraday,,,,,,,
42d9ecc7,CHOLAFIN.NS,2026-01-06,1809.5999755859373,1800.5519757080078,1827.6959753417968,STOP_LOSS_HIT,1800.5519757080078,2026-01-06 09:51:00,-0.4999999999999864,Manual | Triggered at 09:34:00 | SL Hit,Intraday,2026-01-06 09:34:00,,,,,,
f617a65d,MUTHOOTFIN.NS,2026-01-06,3993.89990234375,3973.930402832031,4033.838901367188,NOT_TRIGGERED,,,0.0,Manual | Expired (No Entry),Intraday,,,,,,,
db77999d,NATIONALUM.NS,2026-01-06,344.3999938964844,342.0130583371548,349.1738650151435,NOT_TRIGGERED,,,0.0,Manual | Expired (No Entry),Intraday,,,,,,,
7488b2d7,HEROMOTOCO.NS,2026-01-06,6023.5,5993.3825,6083.735,NOT_TRIGGERED,,,0.0,Manual | Expired (No Entry),Intraday,,,,,,,
597acfe8,BRITANNIA.NS,2026-01-06,6129.5,5973.38,6441.75,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,2026-01-06,,,,,,
384069a9,LUPIN.NS,2026-01-06,2120.0,2068.03,2223.93,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,2026-01-06,,,,,,
06790c3c,SUNPHARMA.NS,2026-01-06,1761.1,1725.81,1831.68,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,2026-01-06,,,,,,
596173f7,TCS.NS,2026-01-06,3255.8,3191.13,3385.14,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,2026-01-06,,,,,,
